fib-2: nodes 1, depth 0
fibSkip-2: nodes 1, depth 0
Nodes: diff 0, reduction 0.00%
fib-3: nodes 3, depth 1
fibSkip-3: nodes 3, depth 0
Nodes: diff 0, reduction 0.00%
fib-4: nodes 5, depth 2
fibSkip-4: nodes 3, depth 1
Nodes: diff 2, reduction 0.40%
fib-5: nodes 9, depth 3
fibSkip-5: nodes 5, depth 1
Nodes: diff 4, reduction 0.44%
fib-6: nodes 15, depth 4
fibSkip-6: nodes 7, depth 2
Nodes: diff 8, reduction 0.53%
fib-7: nodes 25, depth 5
fibSkip-7: nodes 9, depth 2
Nodes: diff 16, reduction 0.64%
fib-8: nodes 41, depth 6
fibSkip-8: nodes 13, depth 3
Nodes: diff 28, reduction 0.68%
fib-9: nodes 67, depth 7
fibSkip-9: nodes 17, depth 3
Nodes: diff 50, reduction 0.75%
fib-10: nodes 109, depth 8
fibSkip-10: nodes 23, depth 4
Nodes: diff 86, reduction 0.79%
fib-11: nodes 177, depth 9
fibSkip-11: nodes 31, depth 4
Nodes: diff 146, reduction 0.82%
fib-12: nodes 287, depth 10
fibSkip-12: nodes 41, depth 5
Nodes: diff 246, reduction 0.86%
fib-13: nodes 465, depth 11
fibSkip-13: nodes 55, depth 5
Nodes: diff 410, reduction 0.88%
fib-14: nodes 753, depth 12
fibSkip-14: nodes 73, depth 6
Nodes: diff 680, reduction 0.90%
fib-15: nodes 1219, depth 13
fibSkip-15: nodes 97, depth 6
Nodes: diff 1122, reduction 0.92%
fib-16: nodes 1973, depth 14
fibSkip-16: nodes 129, depth 7
Nodes: diff 1844, reduction 0.93%
fib-17: nodes 3193, depth 15
fibSkip-17: nodes 171, depth 7
Nodes: diff 3022, reduction 0.95%
fib-18: nodes 5167, depth 16
fibSkip-18: nodes 227, depth 8
Nodes: diff 4940, reduction 0.96%
fib-19: nodes 8361, depth 17
fibSkip-19: nodes 301, depth 8
Nodes: diff 8060, reduction 0.96%
fib-20: nodes 13529, depth 18
fibSkip-20: nodes 399, depth 9
Nodes: diff 13130, reduction 0.97%
fib-21: nodes 21891, depth 19
fibSkip-21: nodes 529, depth 9
Nodes: diff 21362, reduction 0.98%
fib-22: nodes 35421, depth 20
fibSkip-22: nodes 701, depth 10
Nodes: diff 34720, reduction 0.98%
fib-23: nodes 57313, depth 21
fibSkip-23: nodes 929, depth 10
Nodes: diff 56384, reduction 0.98%
fib-24: nodes 92735, depth 22
fibSkip-24: nodes 1231, depth 11
Nodes: diff 91504, reduction 0.99%
fib-25: nodes 150049, depth 23
fibSkip-25: nodes 1631, depth 11
Nodes: diff 148418, reduction 0.99%
fib-26: nodes 242785, depth 24
fibSkip-26: nodes 2161, depth 12
Nodes: diff 240624, reduction 0.99%
fib-27: nodes 392835, depth 25
fibSkip-27: nodes 2863, depth 12
Nodes: diff 389972, reduction 0.99%
fib-28: nodes 635621, depth 26
fibSkip-28: nodes 3793, depth 13
Nodes: diff 631828, reduction 0.99%
fib-29: nodes 1028457, depth 27
fibSkip-29: nodes 5025, depth 13
Nodes: diff 1023432, reduction 1.00%
fib-30: nodes 1664079, depth 28
fibSkip-30: nodes 6657, depth 14
Nodes: diff 1657422, reduction 1.00%
fib-31: nodes 2692537, depth 29
fibSkip-31: nodes 8819, depth 14
Nodes: diff 2683718, reduction 1.00%
fib-32: nodes 4356617, depth 30
fibSkip-32: nodes 11683, depth 15
Nodes: diff 4344934, reduction 1.00%
fib-33: nodes 7049155, depth 31
fibSkip-33: nodes 15477, depth 15
Nodes: diff 7033678, reduction 1.00%
fib-34: nodes 11405773, depth 32
fibSkip-34: nodes 20503, depth 16
Nodes: diff 11385270, reduction 1.00%
fib-35: nodes 18454929, depth 33
fibSkip-35: nodes 27161, depth 16
Nodes: diff 18427768, reduction 1.00%
fib-36: nodes 29860703, depth 34
fibSkip-36: nodes 35981, depth 17
Nodes: diff 29824722, reduction 1.00%
fib-37: nodes 48315633, depth 35
fibSkip-37: nodes 47665, depth 17
Nodes: diff 48267968, reduction 1.00%
fib-38: nodes 78176337, depth 36
fibSkip-38: nodes 63143, depth 18
Nodes: diff 78113194, reduction 1.00%
fib-39: nodes 126491971, depth 37
fibSkip-39: nodes 83647, depth 18
Nodes: diff 126408324, reduction 1.00%
fib-40: nodes 204668309, depth 38
fibSkip-40: nodes 110809, depth 19
Nodes: diff 204557500, reduction 1.00%
fib-41: nodes 331160281, depth 39
fibSkip-41: nodes 146791, depth 19
Nodes: diff 331013490, reduction 1.00%
fib-42: nodes 535828591, depth 40
fibSkip-42: nodes 194457, depth 20
Nodes: diff 535634134, reduction 1.00%
fib-43: nodes 866988873, depth 41
fibSkip-43: nodes 257601, depth 20
Nodes: diff 866731272, reduction 1.00%
fib-44: nodes 1402817465, depth 42
fibSkip-44: nodes 341249, depth 21
Nodes: diff 1402476216, reduction 1.00%
